"型号品名";"规格";"加工要求";"单位";"进货价";"销售价";"类别";"品牌";"goodsID"
"MCK1-001A全3D椰维康床垫";"150*200*10";;"张";"1823.00";"4923.00";"床垫";"慕思.凯奇";"862"
"MCK3-053床垫";"150*195*22";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"6542"
"MCK5-059大独立筒弹簧床垫";"150*200*25";;"张";"4742.00";"18091.00";"床垫";"慕思.凯奇";"7160"
"MCK1-001护脊连体弹簧床垫";"120*200*12";;"张";"0.00";"2814.00";"床垫";"慕思.凯奇";"5380"
"MCK3-029七区乳胶独立筒弹簧床垫";"174*199*25";;"张";"0.00";"8797.00";"床垫";"慕思.凯奇";"5304"
"MCK3-052大独立筒弹簧床垫";"180*200*25";;"张";"2591.00";"7933.00";"床垫";"慕思.凯奇";"3710"
"MCK3-068/大独立筒弹簧/床垫";"150*190*20";;"张";"0.00";"5694.00";"床垫";"慕思.凯奇";"7709"
"MCK1-001A全3D椰维康床垫";"161*190*8";;"张";"0.00";"5497.00";"床垫";"慕思.凯奇";"7277"
"KB-2B床垫";"90*200*22";;"张";"0.00";"0.00";"床垫";"慕思.凯奇";"4814"
"MCK3-003独立筒弹簧床垫";"180*200*20";"加硬";"张";"0.00";"9605.00";"床垫";"慕思.凯奇";"4721"
"MCK5-039乳胶超微独立筒床垫";"135*190*23";;"张";"0.00";"9665.00";"床垫";"慕思.凯奇";"7397"
"MCK1-001护脊连体弹簧单面加2CM床垫";"150*200*22";;"张";"0.00";"4405.00";"床垫";"慕思.凯奇";"4965"
"MCK1-051标准弹簧床垫";"135*196*23";;"张";"0.00";"3868.00";"床垫";"慕思.凯奇";"7241"
"MCK1-001护脊连体弹簧床垫";"180*200*26";;"张";"1474.00";"4710.00";"床垫";"慕思.凯奇";"2191"
"MCK1-020清透棉连体弹簧床垫";"150*200*25";;"张";"0.00";"8622.00";"床垫";"慕思.凯奇";"5234"
"MCK1-051标准弹簧床垫";"180*220*17";;"张";"0.00";"5802.00";"床垫";"慕思.凯奇";"8219"
"MCK1-001护脊连体弹簧床垫";"150*200*18";;"张";"0.00";"3415.00";"床垫";"慕思.凯奇";"4400"
"MCK2-028乳胶记忆棉床垫";"180*200*15";;"张";"4899.00";"14665.00";"床垫";"慕思.凯奇";"837"
"MCK1-001A全3D椰维康床垫";"120*207*5";;"张";"0.00";"3802.00";"床垫";"慕思.凯奇";"6605"
"MCK3-003独立筒弹簧床垫";"150*200*22";;"张";"2317.00";"6764.00";"床垫";"慕思.凯奇";"810"
"MCK3-038独立筒弹簧床垫";"120*200*17";;"张";"0.00";"4200.00";"床垫";"慕思.凯奇";"5170"
"MCK1-051标准弹簧床垫";"163*215*13";;"张";"0.00";"5157.00";"床垫";"慕思.凯奇";"6082"
"MCK1-001护脊连体弹簧床垫";"120*200*22";;"张";"1042.00";"2814.00";"床垫";"慕思.凯奇";"804"
"MCK3-019凝胶记忆棉迷你独立筒弹簧床垫";"180*200*25";;"张";"4481.00";"19400.00";"床垫";"慕思.凯奇";"822"
"MCK3-053床垫";"150*190*20";;"张";"0.00";"3885.00";"床垫";"慕思.凯奇";"5711"
"MCK5-032乳胶超微独立筒弹簧床垫";"180*200*9";;"张";"3007.00";"9431.00";"床垫";"慕思.凯奇";"4899"
"MCK3-026独立筒弹簧床垫";"170*200*23";;"张";"2109.00";"6806.00";"床垫";"慕思.凯奇";"833"
"MCK1-001A全3D椰维康床垫";"180*205*5";;"张";"0.00";"4164.00";"床垫";"慕思.凯奇";"5434"
"MCK3-053床垫";"110*190*14";;"张";"0.00";"3426.00";"床垫";"慕思.凯奇";"7645"
"MCK1-001护脊连体弹簧床垫";"126*190*12";;"张";"0.00";"3616.00";"床垫";"慕思.凯奇";"6097"
"MCK5-036超微独立筒+连体弹簧床垫";"180*200*22";;"张";"3794.00";"13729.00";"床垫";"慕思.凯奇";"1888"
"MCK3-052大独立筒弹簧床垫";"175*195*25";;"张";"0.00";"7933.00";"床垫";"慕思.凯奇";"6355"
"MCK2-031薄款乳胶床垫";"148*199*5";;"张";"0.00";"6173.00";"床垫";"慕思.凯奇";"6928"
"MCK1-001A全3D椰维康床垫";"197*217*5";;"张";"0.00";"4888.00";"床垫";"慕思.凯奇";"7904"
"MCK3-006六面乳胶独立筒弹簧床垫";"90*200*16";"停产/安溪摆场";"张";"2163.00";"8244.00";"床垫";"慕思.凯奇";"2941"
"人体工程测试床垫";"150*200*20";;"张";"4343.00";"15310.00";"床垫";"慕思.凯奇";"843"
"MCK1-051标准弹簧床垫";"180*190*23";;"张";"0.00";"4298.00";"床垫";"慕思.凯奇";"7837"
"MCK1-001护脊连体弹簧床垫";"155*192*12";;"张";"1211.28";"3828.00";"床垫";"慕思.凯奇";"3168"
